section,offence,description
11,Special Judicial Magistrates,"(1) The High Court may, if requested by the Central or State Government so to do, confer upon any person who holds or has held any post under the Government, all or any of the powers conferred or conferrable by or under this Sanhita on a Judicial Magistrate of the first class or of the second class, in respect to particular cases or to particular classes of cases, in any local area: Provided that no such power shall be conferred on a person unless he possesses such qualification or experience in relation to legal affairs as the High Court may, by rules, specify. (2) Such Magistrates shall be called Special Judicial Magistrates and shall be appointed for such term, not exceeding one year at a time, as the High Court may, by general or special order, direct."
12,Local Jurisdiction of Judicial Magistrates,"(1) Subject to the control of the High Court, the Chief udicial Magistrate may, from time to time, define the local limits of the areas within which the Magistrates appointed under section 9 or under section 11 may exercise all or any of the powers with which they may respectively be invested under this Sanhita: Provided that the Court of Special Judicial Magistrate may hold its sitting at any place within the local area for which it is established. (2) Except a s otherwise provided by such definition, the jurisdiction and powers of every such Magistrate shall extend throughout the district. (3) Where the local jurisdiction of a Magistrate appointed under section 9 or section 11 extends to an area beyond the distr ict in which he ordinarily holds Court, any reference in this Sanhita to the Court of Session or Chief Judicial Magistrate shall, in relation to such Magistrate, throughout the area within his local jurisdiction, be construed, unless the context otherwise requires, as a reference to the Court of Session or Chief Judicial Magistrate, as the case may be, exercising jurisdiction in relation to the said district."
13,Subordination of Judicial Magistrates,"(1) Every Chief Judicial Magistrate shall be subordinate to the Sessions Judge; and every other Judicial Magistrate shall, subject to the general control of the Sessions Judge, be subordinate to the Chief Judicial Magistrate. (2) The Chief Judicial Magistrate may, from time to time, make rules or give special orders, consistent with this Sanhita, as to the distribution of business among the Judicial Magistrates subordinate to him."
14,Executive Magistrates,"(1) In every district, the State Government may appoint as many persons as itthinks fit to be Executive Magistrates and shall appoint one of them to be the District Magistrate. (2) The State Government may appoint any Executive Magistrate to be an Additional District Magistrate, and such Magistrate shall have such of the powers of a District Magistrate under this Sanhita or under any other law for the time being in force as may be directed by the State Government. (3) Whenever, in consequence of the office of a District Magistrate becoming vacant, any officer succeeds temporarily to the executive administration of the district, such officer shall, pending the orders of the State Gov ernment, exercise all the powers and perform all the duties respectively conferred and imposed by this Sanhita on the District Magistrate. (4) The State Government may place an Executive Magistrate in charge of a sub -division and may relieve him of the cha rge as occasion requires; and the Magistrate so placed in charge of a sub -division shall be called the Sub-divisional Magistrate. (5) The State Government may, by general or special order and subject to such control and directions as it may deem fit to impose, delegate its powers under sub-section (4) to the District Magistrate. (6) Nothing in this section shall preclude the State Government from conferring, under any law for the time being in force, on a Commissioner of Police all or any of the powers of an Executive Magistrate."
15,Special Executive Magistrates,"The State Government may appoint, for such term as it may think fit, Executive Magistrates or any police officer not below the rank of Superintendent of Police or equivalent, to be known as Special Executive Magistrates, for particular areas or for the performance of particular functions and confer on such Special Executive Magistrates such of the powers as are conferrable under this Sanhita on Executive Magistrates, as it may deem fit."
16,Local Jurisdiction of Executive,"(1) Subject to the control of the State Government, the District Magistrate may, from time to time, define the local limits of the areas within which the Executive Magistrates may exercise all or any of the powers with which they may be invested under this Sanhita. (2) Except as otherwise provided by such definition, the jurisdiction and powers of every such Magistrate shall extend throughout the district."
17,Subordination of Executive Magistrates,"(1) All Executive Magistrates shall be subordinate to the District Magistrate, and every Executive Magistrate (other than the Sub -divisional Magistrate) exercising powers in a sub-division shall also be subordinate to the Sub -divisional Magistrate, subject, to the general control of the District Magistrate. (2) The District Magistrate may, from time to time, make rules or give special orders, consistent with this Sanhita, as to the distribution or allocation of business among the Executive Magistrates subordinate to him."
18,Public Prosecutors,"(1) For every High Court, the Central Government or the State Government shall, after consultation with the High Court, appoint a Public Prosecutor and may also appoint one or more Additional Public Prosecutors, for conducting in such Court, a ny prosecution, appeal or other proceeding on behalf of the Central Government or the State Government, as the case may be: Provided that for National Capital Territory of Delhi, the Central Government shall, after consultation with the High Court of Delhi , appoint the Public Prosecutor or Additional Public Prosecutors for the purposes of this sub-section. (2) The Central Government may appoint one or more Public Prosecutors for the purpose of conducting any case in any district or local area. (3) For every district, the State Government shall appoint a Public Prosecutor and may also appoint one or more Additional Public Prosecutors for the district: Provided that the Public Prosecutor or Additional Public Prosecutor appointed for one district may be appointed also to be a Public Prosecutor or an Additional Public Prosecutor, as the case may be, for another district. (4) The District Magistrate shall, in consultation with the Sessions Judge, prepare a panel of names of persons, who are, in his opinion fit to be appointed as Public Prosecutors or Additional Public Prosecutors for the district. (5) No person shall be appointed by the State Government as the Public Prosecutor or Additional Public Prosecutor for the district unless his name appears in the panel of names prepared by the District Magistrate under sub-section (4)."
19,Assistant Public Prosecutors,"(1) The State Government shall appoint in every district one or more Assistant Public Prosecutors for conducting prosecutions in the Courts of Magistrates. (2) The Central Government may appoint one or more Assistant Public Prosecutors for the purpose of conducting any case or class of cases in the Courts of Magistrates. (3) Without prejudice to provisions contained in sub -sections (1) and ( 2), where no Assistant Public Prosecutor is available for the purposes of any particular case, the District Magistrate may appoint any other person to be the Assistant Public Prosecutor in charge of that case after giving notice of fourteen days to the State Government: Provided that no police officer shall be eligible to be appointed as an Assistant Public Prosecutor, if he— (a) has taken any part in the investigation into the offence with respect to which the accused is being prosecuted; or (b) is below the rank of Inspector."
20,Directorate of Prosecution,"(1) The State Government may establish,— (a) a Directorate of Prosecution in the State consisting of a Director of Prosecution and as many Deputy Directors of Prosecution as it thinks fit; and (b) a District Directorate of Prosecution in every district consisting of as many Deputy Directors and Assistant Directors of Prosecution, as it thinks fit. (2) A person shall be eligible to be appointed,— (a) as a Director of Prosecution or a Deputy Director of Prosecution, if he has been in practice as an advocate for not less than fifteen years or is or has been a Sessions Judge; (b) as an Assistant Director of Prosecution, if he has been in practice as an advocate for not less than seven years or has been a Magistrate of the first class. (3) The Directorate of Prosecution shall be headed by the Director of Prosecut ion, who shall function under the administrative control of the Home Department in the State. (4) Every Deputy Director of Prosecution or Assistant Director of Prosecution shall be subordinate to the Director of Prosecution; and every Assistant Director of Prosecution shall be subordinate to the Deputy Director of Prosecution. (5) Every Public Prosecutor, Additional Public Prosecutor and Special Public Prosecutor appointed by the State Government under sub -section (1) or sub-section (8) of section 18 to conduct cases in the High Court shall be subordinate to the Director of Prosecution."
21,Courts by which offences are triable,"Subject to the other provisions of this Sanhita,— (a) any offence under the Bharatiya Nyaya Sanhita, 2023 may be tried by— (i) the High Court; or (ii) the Court of Session; or (iii) any other Court by which such offence is shown in the First Schedule to be triable: Provided that any offence under section 64, section 65, section 66, section 67, section 68, section 69, section 70 or section 71 of the Bharatiya Nyaya Sanhita, 2023 shall be tried as far as practicable by a Court presided over by a woman; (b) any offence under any other law shall, when any Court is mentioned in this behalf in such law, be tried by such Court and when no Court is so mentioned, may be tried by— (i) the High Court; or (ii) any other Court by which such offence is shown in the First Schedule to be triable."
22,Sentences which High Courts and Sessions Judges may pass,(1) A High Court may pass any sentence authorised by law. (2) A Sessions Judge or Additional Sessions Judge may pass any sentence authorised by law; but any sentence of death passed by any such Judge shall be subject to confirmation by the High Court.
23,Sentences which Magistrates may pass,"(1) The Court of a Chief Judicial Magistrate may pass any sentence authorised by law except a sentence of death or of imprisonment for life or of imprisonment for a term exceeding seven years. (2) The Court of a Magistrate of the firs t class may pass a sentence of imprisonment for a term not exceeding three years, or of fine not exceeding fifty thousand rupees, or of both, or of community service. (3) The Court of Magistrate of the second class may pass a sentence of imprisonment for a term not exceeding one year, or of fine not exceeding ten thousand rupees, or of both, or of community service. Explanation.—“Community service” shall mean the work which the Court may order a convict to perform as a form of punishment that benefits the community, for which he shall not be entitled to any remuneration."
24,Sentence of imprisonment in default of fine,"(1) The Court of a Magistrate may award such term of imprisonment in default of payment of fine as is authorised by law: Provided that the term— (a) is not in excess of the powers of the Magistrate under section 23; (b) shall not, where imprisonment has been awarded as part of the substantive sentence, exceed one-fourth of the term of imprisonment which the Magistrate is competent to inflict as punishment for the offence otherwise than as imprisonment in default of payment of the fine. (2) The imprisonment awarded under this section may be in addition to a substantive sentence of imprisonment for the maximum term awardable by the Magistrate under section 23."
25,Sentence in cases of conviction of several offences at one trial,"(1) When a person is convicted at one trial of two or more offences, the Court may, subject to the provisions of section 9 of the Bharatiya Nyaya Sanhita, 2023, sentence him for such offences, to the several punishments prescribed therefor which such Court is competent to inflict and the Court shall, considering the gravity of offences, order such punishments to run concurrently or consecutively. (2) In the case of consecutive sentences, it shall not be necessary for the Court by reason only of the aggregate punishment for the several offences being in excess of the punishment which it is competent to inflict on conviction of a single offence, to send the offender for trial before a higher Court: Provided that— (a) in no case shall such person be sentenced to imprisonment for a longer period than twenty years; (b) the aggregate punishment shall not exceed twice the amount of punishment which the Court is competent to inflict for a single offence. (3) For the purpose of appeal by a convicted person, the aggregate of the consecutive sentences passed against him under this section shall be deemed to be a single sentence."
26,Mode of conferring powers,"(1) In conferring powers under this Sanhita, the High Court or the State Government, as the case may be, may, by order, empower persons specially by name or in virtue of their offices or classes of officials generally be their official titles. (2) Every such order shall take effect from the date on which it is communicated to the person so empowered."
27,Powers of officers appointed,"Whenever any person holding an office in the service of Government who has been invested by the High Court or the State Government with any powers under this Sanhita throughout any local area is appointed to an equal or higher office of the samenature, within a like local area under the same State Government, he shall, unless the High Court or the State Government, as the case may be, otherwise directs, or has otherwise directed, exercise the same powers in the local area in which he is so appointed."
28,Withdrawal of powers,"(1) The High Court or the State Government, as the case may be, may withdraw all or any of the powers conferred by it under this Sanhita on any person or by any officer subordinate to it. (2) Any powers conferred by the Chief Judicial Magistrate or by the District Magistrate may be withdrawn by the respective Magistrate by whom such powers were conferred."
29,Powers of Judges and Magistrates exercisable by their successors-in office,"(1) Subject to the other provisions of this Sanhita, the powers and duties of a Judge or Magistrate may be exercised or performed by his successor-in-office. (2) When there is any doubt as to who is the successor-in-office, the Sessions Judge shall determine by order in writing the Judge who shall, for the purposes of this Sanhita or of any proceedings or order thereunder, be deemed to be the successor-in-office. (3) When there is any doubt as to who is the successor -in-office of any Magistrate, the Chief Judicial Magistrate, or the District Magistrate, as the case may be, shall determine by order in writing the Magistrate who shall, for the purpose of this S anhita or of any proceedings or order thereunder, be deemed to be the successor-in-office of such Magistrate. POWERS OF SUPERIOR OFFICERS OF POLICE AND AID TO THE MAGISTRATES AND THE POLICE"
30,Powers of superior officers of police,"Police officers superior in rank to an officer in charge of a police station may exercise the same powers, throughout the local area to which they are appointed, as may be exercised by such officer within the limits of his station."
31,Public when to assist Magistrat es and police,Every person is bound to assist a Magistrate or police officer reasonably demanding his aid— (a) in the taking or preventing the escape of any other person whom such Magistrate or police officer is authorised to arrest; or (b) in the prevention or suppression of a breach of the peace; or (c) in the prevention of any injury attempted to be committed to any public property.
32,"Aid to person, other than police officer, executing warrant","When a warrant is directed to a person other than a police officer, any other person may aid in the execution of such warrant, if the person to whom the warrant is directed be near at hand and acting in the execution of the warrant."
33,Public to give information of certain offences,"(1) Every person, aware of the commission of, or of the intention of any other person to commit, any offence punishable under any of the following sections of the Bharatiya Nyaya Sanhita, 2023, namely:— (i) sections 103 to 105 (both inclusive); (ii) sections 111 to 113 (both inclusive); (iii) sections 140 to 144 (both inclusive); (iv) sections 147 to 154 (both inclusive) and section 158; (v) sections 178 to 182 (both inclusive); (vi) sections 189 and 191; (vii) sections 274 to 280 (both inclusive); (viii) section 307; (ix) sections 309 to 312 (both inclusive); (x) sub-section (5) of section 316; (xi) sections 326 to 328 (both inclusive); and (xii) sections 331 and 332, upon the person so aware, forthwith give information to the nearest Magistrate or police officer of such commission or intention. (2) For the purposes of this section, the term “offence” includes any act committed at any place out of India which would constitute an offence if committed in India."
34,Duty of officers employed in connection with affairs of a village to make certain report,"(1) Every officer employed in connection with the affairs of a village and every person residing in a village shall forthwith communicate to the nearest Magistrate or to the officer in charge of the nearest police station, whichever is nearer, any information which he may possess respecting— (a) the permanent or temporary residence of any notorious receiver or vendor of stolen property in or near such village; (b) the resort to any place within, or the passage thr ough, such village of any person whom he knows, or reasonably suspects, to be a robber, escaped convict or proclaimed offender; (c) the commission of, or intention to commit, in or near such village any non-bailable offence or any offence punishable under section 189 and section 191 of the Bharatiya Nyaya Sanhita, 2023; (d) the occurrence in or near such village of any sudden or unnatural death or of any death under suspicious circumstances or the discovery in or near such village of any corpse or part of a corpse, in circumstances which lead to a reasonable suspicion that such a death has occurred or the disappearance from such village of any person in circumstances which lead to a reasonable suspicion that a non - bailable offence has been committed in respect of such person; (e) the commission of, or intention to commit, at any place out of India nearsuch village any act which, if committed in India, would be an offence punishable under any of the following sections of the Bharatiya Nyaya Sanhita, 2023, namely, 103, 105, 111, 112, 113, 178 to 181 (both inclusive), 305, 307, 309 to 312 (both inclusive), clauses"
35,When police may arrest without warrant,"(1) Any police officer may without an order from a Magistrate and without a warrant, arrest any person— (a) who commits, in the presence of a police officer, a cognizable offence; or (b) against whom a reasonable complaint has been made, or credible information has been received, or a reasonable suspicion exists that he has committed a cognizable offence punishable with imprisonment for a term which may be less than seven years or which may extend to seven years whether with or without fine, if the following conditions are satisfied, namely:— (i) the police officer has reason to believe on the basis of such complaint, information, or suspicion that such person has committed the said offence; (ii) the police officer is satisfied that such arrest is necessary— (a) to prevent such person from committing any further offence; or (b) for proper investigation of the offence; or (c) to prevent such person from causing the evidence of the offence to disappear or tampering with such evidence in any manner; or (d) to prevent such person from making any inducement, threat or promise to any person acquainted with the facts of the case so as to dissuade him from disclosing such facts to the Court or to the police officer; or (e) as unless such person is arrested, his presence in the Court whenever required cannot be ensured, and the police officer shall record while making such arrest, his reasons in writing: Provided that a police officer shall, in all cases where the arrest of a person is not required under the provisions of thi s sub -section, record the reasons in writing for not mak"
36,Procedure of arrest and duties of officer making arrest,"Every police officer while making an arrest shall— (a) bear an accurate, visible and clear identification of his name which will facilitate easy identification; (b) prepare a memorandum of arrest which shall be— (i) attested by at least one witness, who is a member of the family of the person arrested or a respectable member of the locality where the arrest is made; (ii) countersigned by the person arrested; and (c) inform the person arrested, unless the memorandum is attested by a member of his family, that he has a right to have a relative or a friend or any other person named by him to be informed of his arrest."
37,Designated police officer,"The State Government shall— (a) establish a police control room in every district and at State level; (b) designate a police officer in every district and in every police station, not below the rank of Assistant Sub-Inspector of Police who shall be responsible for maintaining the information about the names and addresses of the persons arrested, nature of the offence with which charged, which shall be prominently displayed in any manner including in digital mode in every police station and at the district headquarters."
38,Right of arrested person to meet an advocate of his choice during interrogation,"When any person is arrested and interrogated by the police, he shall be entitled to meet an advocate of his choice during interrogation, though not throughout interrogation."
39,Arrest on refusal to give name and residence,"(1) When any person who, in the presence of a police officer, has committed or has been accused of committing a non -cognizable offence refuses on demand of such officer to give his name and residence or gives a name or residence which such officer has reason to believe to be false, he may be arrested by such officer in order that his name or residence may be ascertained. (2) When the true name and residence of such person have been ascertained, he shall be released on a bond or bail bond, to appear before a Magistrate if so required: Provided that if such person is not resident in India, the bail bond shall be secured by a surety or sureties resident in India. (3) If the true name and residence of such person is not ascertained within twenty-four hours from the time of arrest or if he fails to execute the bond or bail bond, or, if so required, to furnish sufficient sureties, he shall forthwith be forwarded to the nearest Magistrate having jurisdiction."
40,Arrest by private person and procedure on such arrest,"(1) Any private person may arrest or cause to be arrested any person who in his presence commits a non-bailable and cognizable offence, or any proclaimed offender, and, without unnecessary delay, but within six hours from such arrest, shall make over or cause to be made over any person so arrested to a police officer, or, in the absence of a police officer, take such person or cause him to be taken in custody to the nearest police station. (2) If there is reason to believe that such person comes under the provisions of sub -section ( 1) of section 35, a police officer shall take him in custody. (3) If there is reason to believe that he has committed a non-cognizable offence, and he refuses on the demand of a police officer to give his name and residence, or gives a name or residence which such officer has reason to believe to be false, he shall be dealt with under the provisions of section 39; but if there is no sufficient reason to believe that he has committed any offence, he shall be at once released."
41,Arrest by Magistrate,"(1) When any offence is committed in the presence of a Magistrate, whether Executive or Judicial, within his local jurisdiction, he may himself arrest or order any person to arrest the offender, and may thereupon, subject to the provisions herein contained as to bail, commit the offender to custody. (2) Any Magistrate, whether Executive or Judicial, may at any time arr est or direct the arrest, in his presence, within his local jurisdiction, of any person for whose arrest he is competent at the time and in the circumstances to issue a warrant."
42,Protection of members of Armed Forces from arrest,"(1) Notwithstanding anything contained in section 35 and sections 39 to 41 (both inclusive), no member of the Armed Forces of the Union shall be arrested for anything done or purported to be done by him in the discharge of his official duties except after obtaining the consent of the Central Government. (2) The State Government may, by notification, direct that the provisions of sub-section (1) shall apply to such class or category of the members of the Force charged with the maintenance of public order as may be specified therein, wherever they may be serving, and thereupon the provisions of that sub -section shall apply as if for the expression “Central Government” occurring therein, the expression “State Government” were substituted."
43,Arrest how made,"(1) In making an arrest the police officer or other person making the same shall actually touch or confine the body of the person to be arrested, unless there be a submission to the custody by word or action: Provided that where a woman is to be arrested, unless the circumstances indicate to the contrary, her submission to custody on an oral intimation of arrest shall be presumed and, unless the circumstances otherwise require or unless the police officer is a female, the police officer shall not touch the person of the woman for making her arrest. (2) If such person forcibly resists the endeavour to arrest him, or attempts to evade the arrest, such police officer or other person may use all means necessary to effect the arrest. (3) The police officer may, keeping in view the natur e and gravity of the offence, use handcuff while making the arrest of a person or while producing such person before the court who is a habitual or repeat offender, or who escaped from custody, or who has committed offence of organised crime, terrorist act , drug related crime, or illegal possession of arms and ammunition, murder, rape, acid attack, counterfeiting of coins and currency-notes, human trafficking, sexual offence against children, or offence against the State. (4) Nothing in this section gives a right to cause the death of a person who is not accused of an offence punishable with death or with imprisonment for life."
44,Search of place entered by person sought to be arrested,"(1) If any person acting under a warrant of arrest, or any police officer having authority to arrest, has reason to believe that the person to be arrested has entered into, or is within, any place, any person residing in, or being in charge of, such place shall, on demand of such person acting as aforesaid or such police officer, allow him free ingress thereto, and afford all reasonable facilities for a search therein. (2) If ingress to such place cannot be obtained under sub -section (1), it shall be lawful in any case for a person acting under a warrant and in any case in which a warrant may issue, but cannot be obtained without affording the person to be arrested an opportunity of escape, for a police officer to enter such place and search therein, and in order to effect an entrance into such place, to break open any outer or inner door or window of any house or place, whether that of the person to be arrested or of any other person, if after notification of his authority and purpose, and demand of admittance duly made, he cannot otherwise obtain admittance: Provided that if any such place is an apartment in the actual occupancy of a female (not being the person to be arrested) who, according to custom, does not appear in publi c, such person or police officer shall, before entering such apartment, give notice to such female that she is at liberty to withdraw and shall afford her every reasonable facility for withdrawing, and may then break open the apartment and enter it."
45,Pursuit of offenders into other jurisdictions,"A police officer may, for the purpose of arresting without warrant any person whom he is authorised to arrest, pursue such person into any place in India."
46,No unnecessary restraint,The person arrested shall not be subjected to more restraint than is necessary to prevent his escape.
47,Person arrested to be informed of grounds of arrest and of right to bail,"(1) Every police officer or other person arresting any person without warrant s hall forthwith communicate to him full particulars of the offence for which he is arrested or other grounds for such arrest. (2) Where a police officer arrests without warrant any person other than a person accused of a non - bailable offence, he shall infor m the person arrested that he is entitled to be released on bail and that he may arrange for sureties on his behalf."
48,"Obligation of person making arrest to inform about arrest, etc., to relative or friend","(1) Every police officer or other person making any arrest under this Sanhita shall forthwith give the information regarding such arrest and place where the arrested person is being held to any of his relatives, friends or such other persons as may be disclosed or nominated by the arrested person for t he purpose of giving such information and also to the designated police officer in the district. (2) The police officer shall inform the arrested person of his rights under sub-section (1) as soon as he is brought to the police station. (3) An entry of the fact as to who has been informed of the arrest of such person shall be made in a book to be kept in the police station in such form as the State Government may, by rules, provide. (4) It shall be the duty of the Magistrate before whom such arrested person is produced, to satisfy himself that the requirements of sub-section (2) and sub-section (3) have been complied with in respect of such arrested person."
49,Search of arrested person,"(1) Whenever,— (i) a person is arrested by a police officer under a warrant which does not provide for the taking of bail, or under a warrant which provides for the taking of bail but the person arrested cannot furnish bail; and (ii) a person is arrested without warrant, or by a private person under a warrant, and cannot legally be admitted to bail, or is unable to furnish bail, the officer making the arrest or, when the arrest is made by a private person, the police officer to whom he makes over the person arrested, may search such person, and place in safe custody all art icles, other than necessary wearing -apparel, found upon him and where any article is seized from the arrested person, a receipt showing the articles taken in possession by the police officer shall be given to such person. (2) Whenever it is necessary to ca use a female to be searched, the search shall be made by another female with strict regard to decency."
50,Power to seize offensive weapons,"The police officer or other person making any arrest under this Sanhita may, immediately after the arrest is made, take from the person arrested any offensive weapons which he has about his person, and shall deliver all weapons so taken to the Court or officer before which or whom the officer or person making the arrest is required by this Sanhita to produce the person arrested."
51,Examination of accused by medical practitioner at request of police officer,"(1) When a person is arrested on a charge of committing an offence of such a nature and alleged to have been committed under such circumstances that there are reasonable grounds for believing that an examination of his person will afford evidence as to the commission of an offence, it shall be lawful for a registered medical practitioner, acting at the request of any police officer, and for any person acting in good faith in his aid and under his direction, to make such an examination of the person arrested as is reasonably necessary in order to ascertain the facts which may afford such evidence, and to use such force as is reasonably necessary for that purpose. (2) Whenever the person of a female is to be examined under this section, the examination shall be made only by, or under the supervision of, a female registered medical practitioner. (3) The registered medical practitioner shall, without any delay, forward the examination report to the investigating officer."
52,Examination of person accused of rape by medical practitioner,"(1) When a person is arrested on a charge of committing an offence of rape or an attempt to commit rape and there are reasonable grounds for believing that an examination of his person will afford evidence as to the commission of such offence, it shall be lawful for a registered medical practitioner employed in a hospital run by the Government or by a local authority and in the absence of such a practitioner within the radius of sixteen kilometres from the place where the offence has been committed, by any other registered medical practitioner, acting at the request of any police officer, and for any person acting in good faith in his aid and under his direction, to make such an examination of the arrested person and to use such force as is reasonably necessary for that purpose. (2) The registered medical practitioner conducting such examination shall, without any delay, examine such person and prepare a report of his examination giving the following particulars, namely:— (i) the name and address of the accused and of the person by whom he was brought; (ii) the age of the accused; (iii) marks of injury, if any, on the person of the accused; (iv) the description of material taken from the person of the accused for DNA profiling; and (v) other material particulars in reasonable detail. (3) The report shall state precisely the reasons for each conclusion arrived at. (4) The exact time of commencement and completion of the examination shall also be noted in the report."
